KIC,Teff,log(g),Mass,Prot,e_Prot,n_Prot,Rper,LPH,w,Ref,_RA,_DE
 ,K,[cm/s2],Msun,d,d, ,ppm, , , ,deg,deg
--------,----,-----,-------,------,------,---,----------,------,-------,-,---------,---------
892376,3813,4.47,0.4699,1.532,0.007,   ,7306.69,0.823,0.4503,0,291.06387,36.63581
1026146,4261,4.57,0.6472,14.891,0.12,   ,11742.56,1.405,0.7229,0,291.07007,36.7806
1026474,4122,4.56,0.5914,1.569,0.006,   ,30471.8,1.204,0.6061,0,291.14911,36.72382
1162635,3760,4.77,0.4497,15.678,0.019,   ,10207.47,0.978,0.5445,1,291.33484,36.80644
1164102,4045,4.62,0.5606,31.496,0.474,   ,5139.74,0.568,0.3939,0,291.65097,36.83684
1292688,3774,4.74,0.455,42.659,2.131,   ,6320.15,0.53,0.3172,1,290.92023,36.91717
1297303,4296,4.61,0.6613,27.333,0.193,   ,6189.53,0.777,0.5124,0,291.95847,36.99961
1429921,4217,4.72,0.6295,23.131,0.11,   ,15370.91,0.943,0.5839,0,290.83389,37.07471
1430349,4285,4.54,0.6569,34.717,0.752,   ,3244.49,0.376,0.2563,0,290.93961,37.00636
1430893,3925,4.72,0.5133,17.045,0.026,   ,13583.24,1.429,0.7204,1,291.08667,37.07256
1431060,4195,4.71,0.6206,39.682,0.849,   ,4701.32,0.458,0.2904,0,291.12814,37.03793
1431116,4341,4.61,0.6795,38.757,1.038,   ,5648.64,0.696,0.402,0,291.14099,37.05879
1432700,4305,4.6,0.665,31.733,0.263,   ,5284.55,0.619,0.4368,0,291.47934,37.04834
1432745,4354,4.59,0.6848,22.189,0.219,   ,17414.45,1.308,0.6561,0,291.48816,37.07309
1435229,4050,4.52,0.5626,23.469,0.027,   ,4784.67,0.916,0.5656,0,292.02982,37.02163
1569682,3857,4.74,0.4869,17.354,0.222,   ,4018.49,0.522,0.2989,1,290.58542,37.16436
1569863,3589,4.91,0.3862,13.321,0.369,   ,30052.33,1.576,0.7713,1,290.6265,37.14269
1570915,4055,4.56,0.5646,12.315,0.163,   ,9095.55,1.228,0.6547,0,290.86166,37.15507
1571364,4404,4.6,0.705,20.449,0.132,   ,7352.71,1.021,0.6093,0,290.96371,37.15283
1572802,3878,4.73,0.495,0.374,0.004,   ,70335.54,1.35,0.6488,1,291.29581,37.15586
1573478,4233,4.55,0.6359,18.018,0.24,   ,9514.27,0.988,0.5708,0,291.43079,37.15172
1577265,3898,4.7,0.5028,15.153,0.123,   ,10275.54,0.933,0.5224,1,292.20151,37.17714
1718071,3857,4.77,0.4869,21.712,0.202,   ,5137.03,0.555,0.3301,1,290.70587,37.24764
1721911,3705,4.81,0.429,29.62,0.124,   ,4048.94,0.978,0.5906,1,291.62067,37.22728
1722506,4270,4.43,0.6509,10.653,0.073,   ,32481.25,1.633,0.747,0,291.74109,37.2002
1849590,4070,4.4,0.5706,16.197,0.121,   ,10345.22,1.353,0.7215,0,286.2529,37.31196
1865663,4230,4.82,0.6347,31.319,0.016,   ,9731.26,0.789,0.4965,0,290.8306,37.38708
1866535,3754,4.79,0.4474,24.925,0.378,   ,3210.84,0.565,0.3473,1,291.02719,37.35209
1866924,4117,4.58,0.5894,27.24,0.277,   ,7349.79,0.839,0.5531,0,291.13229,37.35999
1866986,3832,4.52,0.4772,37.348,0.182,   ,8532.76,0.942,0.5146,0,291.14792,37.31667
1867358,3625,4.82,0.3993,32.879,0.735,   ,4835.13,0.448,0.297,1,291.24002,37.33159
1868579,4069,4.67,0.5702,38.173,0.377,   ,5494.77,0.535,0.3431,0,291.52771,37.30064
1870952,3888,4.73,0.4989,24.278,0.273,   ,8661.33,1.033,0.6339,1,292.02756,37.37908
1871120,4011,4.72,0.5472,37.851,0.463,   ,5451.74,1.004,0.5253,0,292.05914,37.31171
1872885,3688,4.32,0.4226,1.872,0.003,   ,60773.37,1.512,0.7115,0,292.4404,37.34651
1873523,3934,4.72,0.5169,20.429,0.441,   ,6629.11,0.989,0.5791,1,292.5816,37.32468
1873543,3702,4.52,0.4279,11.548,0.112,   ,12257.75,0.953,0.5216,0,292.58456,37.39547
1996574,4132,4.59,0.5954,20.48,0.225,   ,3632.31,0.449,0.2564,0,286.45444,37.40706
2010738,4067,4.55,0.5694,26.741,0.105,   ,9747.68,1.023,0.5969,0,290.53418,37.40245
2012731,3471,4.98,0.3441,36.258,0.238,   ,9061.6,0.804,0.5086,1,291.01511,37.41472
2013627,4084,4.57,0.5762,13.96,0.328,   ,4507.06,1.214,0.6601,0,291.22571,37.47178
2013754,4280,4.57,0.6549,4.9,0.003,   ,14074.56,1.529,0.7527,0,291.25433,37.44324
2014203,4202,4.57,0.6235,10.796,0.237,   ,17550.83,1.467,0.7634,0,291.36356,37.49024
2015703,4313,4.63,0.6682,22.448,0.052,   ,12041.84,0.993,0.6111,0,291.70816,37.46599
2015767,4078,4.53,0.5738,18.502,0.208,   ,6944.72,0.772,0.4547,0,291.72656,37.49221
2016979,4368,4.69,0.6904,17.253,0.236,SM1,7871.45,0.782,0.45,0,291.98898,37.45325
2017692,4250,4.62,0.6428,11.431,0.114,   ,22345.13,1.37,0.726,0,292.14713,37.47146
2018383,4267,4.46,0.6496,30.372,0.588,   ,6466.69,0.567,0.3824,0,292.31189,37.44773
2020185,4289,4.65,0.6585,21.537,0.1,   ,14884.95,1.117,0.6499,0,292.70444,37.45968
2020638,4337,4.7,0.6779,18.35,0.058,   ,9859.5,0.78,0.4541,0,292.79263,37.41488
2140909,4139,4.8,0.5982,38.622,0.379,   ,5515.64,0.643,0.3873,0,286.08984,37.59291
2142372,3705,4.81,0.429,18.641,0.02,   ,7038.35,0.834,0.4834,1,286.57422,37.51707
2142451,3482,4.86,0.348,33.671,0.692,   ,4652.62,0.431,0.2836,1,286.60022,37.5277
2156061,4085,4.45,0.5766,30.03,1.253,   ,6833.05,0.801,0.5163,0,290.49326,37.54396
2156718,4176,4.51,0.613,21.665,0.349,   ,5622.15,0.536,0.3181,0,290.65146,37.56301
2157356,3650,4.87,0.4085,13.607,0.046,   ,16120.61,1.43,0.7363,1,290.80032,37.51789
2160105,4352,4.66,0.684,17.089,0.93,   ,10373.06,1.25,0.7004,0,291.43427,37.51864
2161569,4303,4.48,0.6642,21.366,0.083,   ,6616.18,0.865,0.5207,0,291.73245,37.51821
2162907,3830,4.74,0.4765,26.5,0.104,SM1,8300.13,0.991,0.6096,1,292.04135,37.59672
2163101,4112,4.64,0.5874,25.637,0.133,   ,10294.08,1.146,0.6238,0,292.07666,37.59774
2163610,3913,4.71,0.5086,42.246,0.189,   ,6033.87,0.439,0.2603,1,292.17548,37.55878
2163634,4371,4.41,0.6916,30.462,0.338,   ,3745.7,0.723,0.4861,0,292.17892,37.51459
2167693,3766,4.76,0.452,17.575,0.079,   ,6583.63,0.923,0.5253,1,293.05399,37.55889
2282712,3451,4.92,0.3372,20.167,0.35,   ,13719.32,1.508,0.7441,1,285.88242,37.64113
2282944,4312,4.55,0.6678,32.307,0.497,   ,5044.58,0.533,0.3713,0,285.96786,37.61464
2285598,3951,4.49,0.5235,37.057,0.362,   ,3207.33,0.759,0.4478,0,286.8385,37.69669
2300039,3402,4.91,0.3203,1.712,0.006,   ,11605.98,1.184,0.5979,1,290.79013,37.66103
2300440,4302,4.6,0.6638,21.326,0.081,   ,9261.61,1.043,0.6313,0,290.87656,37.63127
2301872,3968,4.42,0.5302,22.888,0.056,   ,1749.22,0.734,0.449,0,291.21249,37.61705
2302851,3984,4.47,0.5365,12.217,0.032,   ,11818.05,1.183,0.6298,0,291.42441,37.6303
2302997,3933,4.73,0.5165,25.602,0.14,   ,13484.9,0.997,0.6112,1,291.4549,37.67712
2305760,4248,4.69,0.642,19.57,1.41,   ,4208.39,0.694,0.4102,0,292.06888,37.68584
2309152,3938,4.72,0.5184,31.901,0.317,   ,5630.91,0.62,0.4347,1,292.79742,37.69079
2311842,4379,4.56,0.6949,19.754,0.161,   ,9430.35,1.119,0.6656,0,293.39203,37.67465
2423549,3730,4.82,0.4384,39.804,0.618,   ,7082.88,0.649,0.3987,1,286.37289,37.71129
2424688,3956,4.73,0.5255,11.095,0.037,   ,36050.62,1.433,0.743,1,286.76575,37.74097
2435893,3903,4.7,0.5047,41.146,0.424,   ,4255.18,0.48,0.2916,1,290.0639,37.79116
2436635,4398,4.57,0.7025,1.175,0.004,   ,108038.43,1.675,0.7984,0,290.16589,37.73171
2437270,4242,4.54,0.6396,23.778,0.302,   ,3232.09,0.648,0.3988,0,290.21432,37.77801
2437317,4250,4.7,0.6428,36.913,0.281,   ,33479.78,1.129,0.5586,0,290.21808,37.76407
2438151,4403,4.58,0.7046,49.379,0.405,   ,198439.06,1.283,0.5765,0,290.28506,37.74862
2441409,4312,4.62,0.6678,25.364,0.075,   ,14559.18,1.122,0.6131,0,290.99905,37.72854
2441562,3617,4.87,0.3964,10.104,0.005,   ,19611,1.571,0.7861,1,291.03546,37.78803
2441891,3744,4.79,0.4437,15.472,0.018,   ,8800.57,1.396,0.7421,1,291.11432,37.75486
2441989,4223,4.73,0.6319,38.393,0.273,   ,12791.87,1.125,0.5539,0,291.13846,37.7914
2442004,3975,4.7,0.533,8.865,0.059,   ,50063.28,1.562,0.779,1,291.1416,37.76555
2442866,4344,4.49,0.6807,2.934,0.021,   ,75486.54,1.644,0.7987,0,291.33533,37.70396
2443037,4343,4.37,0.6803,11.652,0.048,   ,8457.66,1.047,0.5662,0,291.37418,37.71168
2443364,4013,4.23,0.548,35.915,0.628,   ,3225.39,0.374,0.2705,0,291.45264,37.74016
2443935,3862,4.74,0.4888,34.068,0.699,   ,6409.76,0.969,0.5384,1,291.57852,37.74995
2444406,4195,4.58,0.6206,16.625,0.151,   ,4497.38,1.056,0.5989,0,291.68286,37.74634
2445782,4220,4.71,0.6307,27.609,0.139,   ,11710.82,1.093,0.5961,0,291.99185,37.76613
2446934,3774,4.78,0.455,26.101,0.179,   ,5338.19,0.675,0.4242,1,292.22729,37.72598
2448311,4254,4.66,0.6444,24.021,0.101,   ,14975.31,1.202,0.6368,0,292.51682,37.76666
2448958,4157,4.58,0.6054,23.051,0.162,SM1,5956.86,1.049,0.6324,0,292.66913,37.77297
2554730,3389,4.93,0.3159,45.962,0.341,   ,11848.81,0.92,0.5018,1,285.98425,37.87886
2555523,3869,4.75,0.4915,26.121,0.156,   ,4172.41,0.68,0.4303,1,286.22769,37.85223
2557350,3627,4.86,0.4001,18.979,0.072,   ,8548.2,1.028,0.5792,1,286.81915,37.85901
2557669,3672,4.83,0.4167,1.864,0.003,   ,34378.5,1.211,0.6054,1,286.91983,37.87816
2558314,4052,4.7,0.5634,27.59,0.145,   ,7366.96,1.048,0.595,0,287.11816,37.80051
2568503,4099,4.36,0.5822,34.241,0.222,   ,4444.9,0.504,0.3682,0,290.01035,37.88015
2570277,3836,4.65,0.4788,45.99,0.937,   ,2713.74,0.539,0.297,0,290.2601,37.80069
2570846,3781,4.75,0.4577,10.913,0.034,   ,37038.12,1.518,0.7768,1,290.34338,37.84152
2572352,4342,4.69,0.6799,39.222,7.596,   ,4473.66,0.487,0.3073,0,290.68372,37.83686
2574013,4220,4.6,0.6307,44.623,0.334,   ,5221.22,0.536,0.2965,0,291.06784,37.82532
2574427,3897,4.72,0.5024,13.635,0.183,   ,4970.16,0.987,0.5425,1,291.16,37.87263
2575433,3857,4.74,0.4869,15.568,0.046,   ,7664.14,0.905,0.5094,1,291.3783,37.8641
2576013,4206,4.58,0.6251,23.532,0.154,   ,14099.66,1.11,0.6323,0,291.50168,37.86349
2576328,4311,4.6,0.6674,11.569,0.078,   ,10654.69,1.326,0.704,0,291.56461,37.88591
2577210,4351,4.76,0.6836,31.136,0.124,   ,7808.21,0.856,0.5117,0,291.75122,37.8381
2577743,3511,4.06,0.3582,32.181,0.114,   ,21087.56,1.399,0.6694,0,291.85959,37.89638
2581298,3764,4.77,0.4512,17.539,0.038,   ,11052.34,1.371,0.7353,1,292.62332,37.87934
2581444,4094,4.55,0.5802,11.976,0.045,   ,15412.99,1.538,0.7497,0,292.66147,37.80757
2583553,4263,4.63,0.648,25.117,0.098,   ,27525.42,1.333,0.6472,0,293.12115,37.86363
2584692,4108,4.47,0.5858,42.211,0.12,   ,5730.57,0.623,0.3564,0,293.36984,37.87477
2692704,3624,4.1,0.399,14.903,0.199,   ,28900.8,0.781,0.4468,0,285.77542,37.9228
2692708,3531,4.05,0.3653,29.878,0.115,   ,16109.7,0.927,0.5854,0,285.77667,37.92393
2692772,3790,4.79,0.4611,28.03,0.121,   ,9140.22,1.111,0.6204,1,285.79529,37.94237
2693993,4301,4.66,0.6634,23.701,0.109,   ,22207.62,1.023,0.6179,0,286.1944,37.99665
2694414,4244,4.46,0.6404,19.741,0.2,   ,6301.16,1.014,0.5982,0,286.30594,37.97749
2695622,3743,4.79,0.4433,16.171,0.355,   ,8105.28,1.024,0.5679,1,286.69693,37.99515
2695885,3368,4.94,0.3088,56.728,0.536,   ,7657.05,0.77,0.4028,1,286.78326,37.95419
2708172,4126,4.58,0.593,38.828,0.323,   ,3934.68,0.617,0.3747,0,290.29175,37.98108
2708787,4084,4.55,0.5762,23.83,0.047,   ,5631.86,1.212,0.6474,0,290.44894,37.98871
2713086,3921,4.72,0.5118,4.14,0.003,   ,105492.59,1.727,0.7861,1,291.44598,37.94953
2713304,3981,4.7,0.5353,29.857,0.336,   ,23701.19,0.966,0.5626,1,291.49405,37.9828
2714000,3777,4.77,0.4562,26.884,0.189,   ,6826.4,0.804,0.509,1,291.64404,37.95267
2714077,4327,4.73,0.6739,13.802,0.012,   ,15002.49,1.222,0.6667,0,291.65945,37.92535
2716857,4248,4.37,0.642,8.698,0.058,   ,11920.33,1.294,0.6668,0,292.2688,37.90848
2718397,4004,4.47,0.5444,22.446,0.203,   ,6550.76,1.153,0.6577,0,292.60196,37.95795
2718781,4113,4.57,0.5878,23.378,0.078,   ,7644.83,0.952,0.5901,0,292.69064,37.96595
2718935,3761,4.8,0.4501,33.05,0.431,   ,4321.93,0.571,0.3975,1,292.72812,37.99015
2831983,4248,4.5,0.642,10.039,0.072,   ,15085.22,1.534,0.7615,0,285.80334,38.02815
2832175,4199,4.49,0.6223,18.987,0.359,   ,3748.03,0.58,0.3391,0,285.8692,38.04941
2832398,3800,4.79,0.465,14.707,0.033,   ,17057.3,1.342,0.712,1,285.94638,38.07317
2832720,3204,5.13,0.2556,24.142,5.682,   ,12013.49,0.857,0.5072,1,286.04691,38.08839
2832741,4380,4.55,0.6953,19.892,3.939,   ,4008.23,0.823,0.4852,0,286.05563,38.01711
2834075,3914,4.73,0.509,37.55,2.993,   ,4943.01,0.818,0.4669,1,286.45605,38.04156
2834564,3524,4.88,0.3628,21.875,0.599,   ,15657.19,1.545,0.7263,1,286.62314,38.08034
2834612,3716,4.81,0.4331,13.436,0.083,   ,19022.58,1.377,0.714,1,286.64011,38.04509
2834637,3233,5.08,0.2647,23.227,0.079,   ,27652.08,1.521,0.7444,1,286.64944,38.06907
2834754,4211,4.41,0.6271,27.236,0.09,   ,10147.87,1.125,0.6048,0,286.68863,38.02107
2834778,3624,4.82,0.399,41.079,0.209,   ,6183.21,0.761,0.4473,1,286.69421,38.01527
2835051,4061,4.33,0.567,39.835,11.617,   ,2579.27,0.435,0.2777,0,286.78348,38.04212
2835274,4078,4.54,0.5738,13.36,0.049,   ,4532.4,1.031,0.5686,0,286.85522,38.0451
2835393,3735,4.84,0.4403,14.995,0.059,   ,14010.13,1.245,0.6629,1,286.89526,38.0887
2836098,3971,4.7,0.5314,29.358,0.07,   ,8256.55,1.058,0.587,1,287.1246,38.02567
2837126,4043,4.36,0.5599,34.624,0.107,   ,2104.82,0.51,0.3675,0,287.44809,38.05792
2845689,4106,4.58,0.585,13.555,0.019,   ,18184.84,1.34,0.7247,0,289.8822,38.02956
2847357,3666,4.83,0.4145,32.441,0.088,   ,5909.03,1.091,0.5987,1,290.29739,38.03374
2852669,4201,4.39,0.6231,12.27,0.054,   ,12728.99,1.193,0.6414,0,291.48618,38.04159
2859045,4220,4.53,0.6307,24.459,0.09,   ,14205.22,1.273,0.6446,0,292.83099,38.09439
2859114,3395,4.98,0.3179,38.698,0.809,   ,5471.23,0.854,0.5154,1,292.84479,38.07578
2860547,4120,4.55,0.5906,25.968,0.129,   ,3503.92,0.852,0.5503,0,293.15686,38.01382
2861126,3598,4.86,0.3895,16.134,0.003,   ,10163.19,0.676,0.3929,1,293.2811,38.08224
2861880,4106,4.53,0.585,25.844,0.149,   ,10421.25,0.897,0.5781,0,293.43973,38.05896
2865225,4110,4.59,0.5866,27.452,0.359,   ,7228.97,0.888,0.5623,0,294.12897,38.01141
2969839,3685,4.8,0.4215,36.292,0.424,   ,11004.48,0.848,0.5044,1,285.79449,38.19308
2971272,3695,4.81,0.4253,17.206,0.086,   ,8468.57,0.983,0.5519,1,286.26373,38.17584
2971717,4258,4.62,0.646,11.846,0.165,   ,5273.16,1.152,0.6186,0,286.4086,38.16606
2973297,4286,4.45,0.6573,25.092,0.131,   ,6992.7,0.853,0.5437,0,286.95459,38.17059
2973361,3632,4.83,0.4019,45.917,0.546,   ,3956.14,0.723,0.4053,1,286.97375,38.11761
2973500,3547,4.89,0.371,19.597,0.091,   ,6863.06,0.813,0.4747,1,287.02158,38.13704
2973800,4249,4.48,0.6424,30.939,0.199,   ,3875.32,0.532,0.3597,0,287.11694,38.11995
2982913,4041,4.51,0.5591,18.59,0.04,   ,6760.24,1.023,0.5908,0,289.81079,38.1708
2984144,4242,4.49,0.6396,34.277,0.571,   ,2644.39,0.47,0.3375,0,290.11053,38.14308
2985366,4208,4.37,0.6259,0.244,0.006,   ,84608.58,1.68,0.7922,0,290.42795,38.17751
2987754,4279,4.57,0.6545,21.995,0.055,   ,14463.25,1.214,0.6529,0,291.00989,38.16086
2988084,4348,4.61,0.6823,32.258,0.134,   ,9143.05,0.859,0.5032,0,291.08942,38.11056
2988458,3664,4.81,0.4137,17.658,0.523,   ,8608.88,1.203,0.6553,1,291.1713,38.19162
2989438,4370,4.58,0.6912,21.621,0.155,   ,4079.4,0.968,0.5869,0,291.38788,38.15235
2992347,4148,4.49,0.6018,31.286,0.156,   ,7640.72,0.793,0.4999,0,292.02133,38.12431
2992668,3726,4.52,0.4369,15.095,0.072,SM1,26918.17,1.363,0.7196,0,292.08804,38.11863
2994087,4286,4.5,0.6573,31.335,0.048,   ,8963.32,0.851,0.5112,0,292.3996,38.12023
2994746,4389,4.37,0.6989,38.466,8.434,   ,2615.57,0.452,0.2969,0,292.54395,38.15565
2995880,4338,4.67,0.6783,19.616,0.021,   ,18142.91,1.385,0.6803,0,292.78381,38.17836
2997195,4083,4.58,0.5758,16.085,0.085,   ,6846.79,0.866,0.4971,0,293.07751,38.1309
2998208,3567,4.86,0.3782,22.168,0.204,   ,9286.34,1.039,0.5979,1,293.2843,38.17164
3096944,3981,4.72,0.5353,43.328,0.605,   ,4651.37,0.575,0.3272,1,285.53455,38.26985
3099491,3522,4.93,0.3621,34.991,0.51,   ,5643.61,0.546,0.3777,1,286.46698,38.2066
3099533,3449,4.92,0.3365,39.259,0.244,   ,6747.57,0.936,0.5353,1,286.48367,38.25436
3099900,3601,4.88,0.3906,18.095,0.087,   ,14438.9,1.328,0.7134,1,286.61359,38.26026
3100994,4112,4.59,0.5874,31.992,0.145,   ,7359.45,0.966,0.5428,0,286.98627,38.26721
3101007,3901,4.7,0.504,13.451,0.156,   ,20513.06,1.465,0.7521,1,286.98972,38.26579
3101129,4285,4.42,0.6569,27.394,2.355,SM2,1234.05,0.433,0.2594,0,287.02847,38.22321
3101830,4232,4.61,0.6355,24.516,0.054,   ,8440.79,0.957,0.6032,0,287.29263,38.28135
3102749,4058,4.64,0.5658,8.163,1.696,   ,1651.97,0.55,0.3096,0,287.61005,38.24851
3102763,3522,4.88,0.3621,14.561,0.036,   ,27608.69,1.355,0.6992,1,287.61542,38.22607
3103752,3379,4.94,0.3125,4.785,0.014,   ,21416.96,1.387,0.6721,1,287.92276,38.22205
3109825,3832,4.38,0.4772,13.318,0.015,   ,22475.9,1.576,0.7451,0,289.74576,38.20657
3109945,3417,4.97,0.3254,45.448,1.057,   ,5741.6,0.595,0.3613,1,289.78085,38.22814
3110319,4340,4.63,0.6791,16.643,3.483,   ,6301.11,1.101,0.6231,0,289.87915,38.25048
3110684,4219,4.62,0.6303,33.076,0.633,   ,11219.5,0.901,0.514,0,289.96744,38.25493
3111995,3341,4.97,0.2998,37.751,0.826,   ,7847.55,0.646,0.4445,1,290.30029,38.27779
3112017,4156,4.62,0.605,16.408,0.024,   ,6970.82,1.055,0.5974,0,290.30804,38.21664
3112821,4192,4.4,0.6194,11.387,0.129,   ,11521.64,1.174,0.627,0,290.52286,38.26251
3112828,4288,4.34,0.6581,9.949,0.016,   ,17959.12,1.43,0.746,0,290.52368,38.26029
3112866,4156,4.56,0.605,38.283,1.516,   ,6130.16,0.608,0.3742,0,290.53375,38.22127
3112890,4170,4.52,0.6106,7.548,0.162,   ,17807.87,1.57,0.7854,0,290.53809,38.25969
3115879,3965,4.63,0.529,37.107,1.108,   ,6488.53,0.855,0.4816,0,291.29193,38.22804
3116544,3792,4.79,0.4619,42.001,9.764,   ,2266.62,0.691,0.3978,1,291.45493,38.29616
3120513,4201,4.5,0.6231,31.812,0.181,   ,5863.49,0.701,0.4666,0,292.33133,38.25984
3120913,3751,4.8,0.4463,34.067,0.13,   ,7055.94,1.072,0.5765,1,292.42596,38.27309
3123647,4312,4.77,0.6678,14.361,0.09,   ,4910.74,0.873,0.4909,0,293.07397,38.21771
3130391,3916,4.7,0.5098,1.228,0.005,   ,31378.95,1.426,0.6794,1,294.54572,38.26814
3216700,3897,4.73,0.5024,4.271,0.023,   ,9476.9,1.035,0.5414,1,285.64215,38.37881
3218308,3920,4.28,0.5114,39.978,7.897,   ,3239.33,0.679,0.3967,0,286.26031,38.37484
3218997,3531,4.85,0.3653,38.682,0.447,   ,8863.66,0.838,0.499,1,286.52719,38.3083
3219400,3965,4.7,0.529,31.213,0.947,   ,5806.03,0.611,0.4227,1,286.66727,38.39424
3220742,3983,4.7,0.5361,14.992,0.078,   ,9620.79,1.274,0.6926,1,287.16071,38.31196
3221541,4147,4.5,0.6014,20.146,0.06,   ,8126.02,1.264,0.6786,0,287.4567,38.37119
3221915,4160,4.61,0.6066,36.57,0.77,   ,5503.15,0.577,0.375,0,287.58978,38.34421
3222610,4097,4.42,0.5814,4.91,0.004,   ,12517.96,1.317,0.6583,0,287.83792,38.37483
3228485,4204,4.46,0.6243,35.479,0.705,   ,3116.19,0.426,0.3113,0,289.67987,38.35105
3230797,4172,4.63,0.6114,39.636,1.242,   ,3623.9,0.524,0.3243,0,290.25711,38.36925
3231403,3563,5.04,0.3768,33.796,0.406,   ,6178.68,0.667,0.4563,1,290.43173,38.30333
3232979,4390,4.56,0.6993,11.07,0.022,   ,14316.26,1.412,0.7497,0,290.89621,38.32682
3233853,3846,4.76,0.4826,29.59,0.245,   ,3714.03,0.707,0.472,1,291.13535,38.37744
3234193,4269,4.55,0.6505,32.023,0.27,   ,4433.04,0.79,0.489,0,291.22531,38.35441
3234338,4151,4.65,0.603,17.391,0.208,   ,5680.2,0.666,0.39,0,291.27222,38.30904
3234506,4289,4.51,0.6585,13.433,0.018,   ,14500.02,1.495,0.7312,0,291.31796,38.39233
3235295,4106,4.53,0.585,15.677,0.194,   ,3160.89,0.93,0.5292,0,291.51636,38.37329
3241079,4098,4.64,0.5818,13.303,0.017,   ,14522.05,1.282,0.6908,0,292.95294,38.34611
3244968,3998,4.41,0.542,18.572,0.125,   ,6310.11,1.12,0.6404,0,293.89359,38.35502
3246721,3901,4.43,0.504,30.062,0.489,   ,4457.06,0.91,0.5512,0,294.30661,38.34483
3322943,3963,4.7,0.5282,18.869,0.049,   ,10393.38,1.162,0.6638,1,285.17456,38.42776
3323808,3536,4.14,0.3671,31.165,0.549,   ,4093.53,0.989,0.5968,0,285.54395,38.45891
3323908,4259,4.65,0.6464,42.057,0.27,   ,5642.12,0.499,0.2919,0,285.5813,38.49719
3325677,4189,4.56,0.6182,33.419,0.262,   ,3803.7,0.512,0.3663,0,286.28345,38.44863
3326330,4028,4.45,0.5539,13.004,0.146,   ,22690.89,1.565,0.7413,0,286.54092,38.47098
3326413,4198,4.67,0.6218,30.998,0.092,   ,15276.82,0.781,0.4981,0,286.57178,38.45351
3327092,3456,4.97,0.3389,36.352,1.354,   ,4328.07,0.57,0.3992,1,286.82962,38.46825
3328210,4325,4.67,0.6731,33.872,0.861,   ,5026.28,0.592,0.407,0,287.25839,38.45766
3328254,3509,4.91,0.3575,31.578,0.316,   ,4763.42,0.661,0.4351,1,287.27618,38.49126
3328711,4290,4.61,0.6589,32.512,0.286,   ,9023.73,0.856,0.5027,0,287.44244,38.45055
3329985,3401,4.97,0.32,46.523,0.84,   ,7407.01,0.648,0.3833,1,287.88785,38.49255
3335194,3956,4.72,0.5255,12.81,0.049,   ,29773.74,1.597,0.7405,1,289.53217,38.42249
3336334,4108,4.52,0.5858,16.255,0.16,   ,5052.51,0.681,0.3965,0,289.84027,38.46567
3336483,4371,4.59,0.6916,30.595,0.172,   ,8858.44,0.815,0.5062,0,289.87939,38.47201
3339107,4214,4.59,0.6283,48.654,1.45,SM1,2374.38,0.49,0.2508,0,290.6127,38.46534
3342636,4069,4.5,0.5702,25.644,0.084,   ,14010.55,1.009,0.6046,0,291.56815,38.46279
3342894,4118,4.53,0.5898,14.092,0.007,   ,14697.55,1.354,0.7386,0,291.63589,38.40809
3343392,4058,4.45,0.5658,17.245,0.187,   ,6435.93,1.024,0.5837,0,291.75757,38.47291
3343664,4381,4.61,0.6957,22.704,0.126,   ,17375.65,1.06,0.6297,0,291.82281,38.45535
3343967,4214,4.7,0.6283,34.57,0.309,   ,9211.66,0.733,0.4507,0,291.89163,38.47726
3344220,3826,4.77,0.4749,15.656,0.622,   ,3506.54,0.849,0.4815,1,291.95285,38.40643
3344747,3876,4.45,0.4942,28.506,0.053,   ,7256.81,0.941,0.5741,0,292.0755,38.4729
3345985,4342,4.69,0.6799,10.565,0.018,   ,12666.61,1.206,0.6358,0,292.38681,38.4603
3347046,4216,4.78,0.6291,15.773,0.055,   ,8315.06,1.2,0.6704,0,292.66345,38.43369
3355476,4115,4.34,0.5886,12.228,0.525,   ,3490.51,1.051,0.5746,0,294.71118,38.40776
3356936,4084,4.62,0.5762,31.247,0.334,   ,16211.18,1.194,0.6014,0,295.04413,38.48641
3357261,4008,4.49,0.546,39.139,0.149,   ,6418.73,0.639,0.3837,0,295.11194,38.48709
3424335,4138,4.59,0.5978,14.936,0.143,   ,3469.35,0.642,0.371,0,285.09793,38.58373
3424832,4187,4.63,0.6174,19.535,0.056,   ,17744.78,1.561,0.7008,0,285.31091,38.50276
3425393,4368,4.62,0.6904,17.91,3.605,   ,8855.07,1.051,0.605,0,285.54437,38.53942
3425850,3748,4.78,0.4452,17.362,0.104,   ,8127.51,1.222,0.6675,1,285.72858,38.59213
3426874,3742,4.77,0.4429,34.672,0.212,   ,10832.85,1.036,0.5648,1,286.11478,38.53998
3429369,4352,4.52,0.684,17.347,0.035,   ,15923.38,1.322,0.696,0,287.0686,38.54454
3430287,4349,4.53,0.6828,0.469,0.006,   ,53945.24,1.554,0.7311,0,287.39474,38.55771
3431662,4229,4.58,0.6343,19.128,0.023,   ,10012.09,1.194,0.6823,0,287.88803,38.55677
3437392,4395,4.47,0.7013,32.621,0.687,   ,3821.94,0.433,0.2886,0,289.68933,38.57419
3438817,3825,4.49,0.4745,37.159,1.498,   ,3783.2,0.917,0.5084,0,290.07611,38.50707
3439126,4088,4.32,0.5778,7.9,0.003,   ,51793.99,1.706,0.7639,0,290.15723,38.52438
